Assembly	minia.k51	minia.k61	abyss.k51	abyss.k81	abyss.m.k51	abyss.m.k81	platanus	spades	spades-ec
# contigs (>= 0 bp)	2054	2186	18108	6366	18086	6408	276	1457	1070
# contigs (>= 1000 bp)	44	42	81	73	89	71	8	214	206
# contigs (>= 5000 bp)	9	8	8	14	8	13	5	42	42
# contigs (>= 10000 bp)	2	1	4	7	4	7	4	13	12
# contigs (>= 25000 bp)	0	0	1	0	1	0	0	2	2
# contigs (>= 50000 bp)	0	0	0	0	0	0	0	1	1
Total length (>= 0 bp)	586585	594106	2307509	1461299	2312344	1479125	133216	1245971	1095246
Total length (>= 1000 bp)	141899	129610	249313	246705	258854	249101	82503	854088	832581
Total length (>= 5000 bp)	77500	66298	124995	134241	124811	134512	75524	460966	449679
Total length (>= 10000 bp)	29114	16413	93990	86822	93990	91090	67740	263219	250544
Total length (>= 25000 bp)	0	0	46112	0	46112	0	0	117893	118036
Total length (>= 50000 bp)	0	0	0	0	0	0	0	92501	92501
# contigs	44	42	81	73	89	71	8	214	206
Largest contig	17630	16413	46112	15648	46112	17131	24256	92501	92501
Total length	141899	129610	249313	246705	258854	249101	82503	854088	832581
GC (%)	42.81	42.41	50.11	49.56	49.73	49.82	42.16	44.30	44.32
N50	5673	5458	6730	5656	3967	6422	17327	5684	5607
N75	2137	2389	1677	2074	1565	2617	12085	2908	3024
L50	8	8	8	13	10	12	2	36	36
L75	19	18	33	31	38	28	4	88	86
# N's per 100 kbp	0.00	0.00	85.03	336.43	136.76	291.45	418.17	126.10	97.65
